Data,Data,Distancia,Tempo
2015-08-02,2015-08-02,1.7,0
2015-08-03,2015-08-03,1.4,0
2015-08-04,2015-08-04,2.1,0
2015-08-06,2015-08-06,2.38,0
2015-08-07,2015-08-07,2.3,0
2015-08-08,2015-08-08,3.4,0
2015-08-09,2015-08-09,2.5,0
2015-08-10,2015-08-10,3.36,0:28:37
2015-08-11,2015-08-11,1.67,0:13:07
2015-08-12,2015-08-12,1.42,0:10:35
2015-08-13,2015-08-13,2.35,0:17:25
2015-08-14,2015-08-14,0.9,0:06:16
2015-08-14,2015-08-14,0.9,0:06:16
2015-08-15,2015-08-15,1.78,0
2015-08-16,2015-08-16,0.65,0
2015-08-17,2015-08-17,1.34,0
2015-08-18,2015-08-18,0.65,0
2015-08-19,2015-08-19,1.37,0
2015-08-19,2015-08-19,1.37,0
2015-08-20,2015-08-20,1.37,0:09:33
2015-08-21,2015-08-21,1.37,0:09:24
2015-08-22,2015-08-22,1.37,0:09:05
2015-08-23,2015-08-23,1.34,0
2015-08-24,2015-08-24,3.0,0
2015-08-25,2015-08-25,1.37,0:08:55
2015-08-25,2015-08-25,1.34,0
2015-08-26,2015-08-26,1.37,0:10:30
2015-08-27,2015-08-27,2.5,0:25:00
2015-08-29,2015-08-29,5.0,0:43:27
2015-09-02,2015-09-02,2.0,0
2015-09-04,2015-09-04,3.05,0
2015-09-05,2015-09-05,3.05,0:23:50
2015-09-08,2015-09-08,3.05,0:23:11
2015-09-10,2015-09-10,1.37,0:08:57
2015-09-12,2015-09-12,3.05,0:23:46
2015-09-16,2015-09-16,3.05,0:22:48
2015-09-17,2015-09-17,1.5,0:11:06
2015-09-19,2015-09-19,1.37,0:09:45
2015-09-21,2015-09-21,4.03,0:30:22
2015-09-28,2015-09-28,1.5,0:11:18
2015-09-28,2015-09-28,1.5,0:11:18
2015-09-29,2015-09-29,3.05,0:21:55
2015-10-04,2015-10-04,4.63,0:40:00
2015-10-04,2015-10-04,1.87,0
2015-10-04,2015-10-04,4.08,0:33:00
2015-10-12,2015-10-12,3.05,0:22:37
2015-10-14,2015-10-14,1.37,0:09:05
2015-10-18,2015-10-18,1.5,0:09:40
2015-10-18,2015-10-18,1.5,0
2015-10-18,2015-10-18,1.37,0
2015-10-20,2015-10-20,1.37,0:08:36
2015-10-25,2015-10-25,2.0,0
2015-10-31,2015-10-31,2.01,0
2015-11-02,2015-11-02,1.37,0:08:43
2015-11-03,2015-11-03,5.3,0:39:26
2015-11-04,2015-11-04,3.05,0:22:12
2015-11-07,2015-11-07,5.63,0:49:05
2015-11-07,2015-11-07,1.26,0
2015-11-07,2015-11-07,1.2,0
2015-11-09,2015-11-09,3.05,0:22:36
2015-11-10,2015-11-10,1.5,0:09:00
2015-11-10,2015-11-10,1.5,0:11:33
2015-11-10,2015-11-10,4.0,0
2015-11-23,2015-11-23,3.05,0:22:35
2015-11-27,2015-11-27,1.0,0
2015-11-28,2015-11-28,3.0,0
2015-12-09,2015-12-09,2.93,0:25:00
2015-12-12,2015-12-12,1.37,0:09:15
2015-12-13,2015-12-13,5.3,0:43:36
2015-12-13,2015-12-13,2.21,0:18:59
2015-12-15,2015-12-15,6.5,0:58:43
2015-12-17,2015-12-17,12.0,1:39:00
2015-12-19,2015-12-19,3.1,0:26:15
2015-12-20,2015-12-20,14.8,2:15:00
2015-12-22,2015-12-22,3.1,0:28:00
2015-12-23,2015-12-23,5.63,0:51:50
2015-12-24,2015-12-24,3.05,0:25:08
2015-12-25,2015-12-25,14.8,2:20:00
2015-12-26,2015-12-26,5.2,0
2015-12-30,2015-12-30,3.15,0:22:10
2016-01-01,2016-01-01,26.2,4:20:43
